zip,surge_cat1_share,surge_cat3_share
03894,0,0
03897,0,0
03901,0,0.0000644
03902,0.00736,0.0143
03903,0.0243,0.0691
03904,0.0184,0.0701
03905,0.0689,0.146
03906,0,0
03907,0.039,0.0704
03908,0.0025,0.00455
03909,0.0451,0.132
03910,0.147,0.489
03911,0.0273,0.0887
04001,0,0
04002,0,0
04003,0.0531,0.168
04005,0.0176,0.0356
04006,0,0.343
04008,0.0542,0.0948
04009,0,0
04010,0,0
04011,0.0294,0.0711
04015,0,0
04017,0.0234,0.114
04019,0.0634,0.216
04020,0,0
04021,0,0
04022,0,0
04024,0,0
04027,0,0
04029,0,0
04030,0,0
04032,0.0126,0.0467
04037,0,0
04038,0,0
04039,0,0
04040,0,0
04041,0,0
04042,0,0
04043,0.0471,0.0954
04046,0.0372,0.0731
04047,0,0
04048,0,0
04049,0,0
04050,0.0333,0.217
04051,0,0
04055,0,0
04056,0,0
04057,0,0
04061,0,0
04062,0,0
04063,0.419,0.773
04064,0.129,0.211
04066,0.00664,0.0518
04068,0,0
04069,0,0
04071,0,0
04072,0.0168,0.0443
04073,0,0
04074,0.117,0.213
04076,0,0
04079,0.0401,0.18
04083,0,0
04084,0,0
04085,0,0
04086,0.04,0.0547
04087,0,0
04088,0,0
04090,0.0528,0.0669
04091,0,0
04092,0.000139,0.00544
04093,0,0
04095,0,0
04096,0.0245,0.0825
04097,0,0
04101,0.206,0.376
04102,0.042,0.155
04103,0.00797,0.0464
04105,0.009,0.0281
04106,0.0239,0.12
04107,0.0412,0.133
04108,0.0217,0.138
04109,0.0155,0.131
04110,0.0113,0.0473
04210,0,0
04216,0,0
04217,0,0
04219,0,0
04220,0,0
04221,0,0
04222,0,0
04224,0,0
04226,0,0
04227,0,0
04231,0,0
04234,0,0
04236,0,0
04237,0,0
04238,0,0
04239,0,0
04240,0,0
04250,0,0
04252,0,0
04253,0,0
04254,0,0
04255,0,0
04256,0,0
04257,0,0
04258,0,0
04259,0,0
04260,0,0
04261,0,0
04263,0,0
04265,0,0
04267,0,0
04268,0,0
04270,0,0
04271,0,0
04274,0,0
