zip,nearest_nuclear_km,tri_within_5km,dams_high_within_10km_naming_town,strategic_km,strategic_bearing,strategic_site
01835,25.9,6,1,125,159,cape_cod_sfs
01840,33.2,6,2,123,155,cape_cod_sfs
01841,31.9,5,2,123,156,cape_cod_sfs
01843,34.4,5,2,121,155,cape_cod_sfs
01844,32,3,0,127,156,cape_cod_sfs
01845,31.9,1,0,117,157,cape_cod_sfs
01850,45.9,8,2,123,149,cape_cod_sfs
01851,50,9,2,122,147,cape_cod_sfs
01852,47,13,2,121,149,cape_cod_sfs
01854,49.3,5,2,125,148,cape_cod_sfs
01860,14.9,1,0,132,163,cape_cod_sfs
01862,51,8,0,116,147,cape_cod_sfs
01863,53.9,3,0,125,145,cape_cod_sfs
01864,40.5,3,0,107,155,cape_cod_sfs
01867,45.6,12,0,104,153,cape_cod_sfs
01876,44.4,10,0,116,151,cape_cod_sfs
01879,53.9,3,0,130,146,cape_cod_sfs
01880,47.3,1,0,99,154,cape_cod_sfs
01886,59.5,2,0,123,143,cape_cod_sfs
01887,45.2,11,0,109,152,cape_cod_sfs
01890,55.2,1,2,97,149,cape_cod_sfs
01901,49.5,2,8,91,158,cape_cod_sfs
01902,48.2,2,8,92,159,cape_cod_sfs
01904,46.5,5,8,95,158,cape_cod_sfs
01905,49.6,4,8,92,157,cape_cod_sfs
01906,49.6,4,2,94,156,cape_cod_sfs
01907,47.5,0,0,91,161,cape_cod_sfs
01908,52.8,1,0,87,159,cape_cod_sfs
01913,10.2,2,1,132,165,cape_cod_sfs
01915,36.6,2,0,100,164,cape_cod_sfs
01921,28.1,0,0,116,160,cape_cod_sfs
01922,16.7,0,0,121,165,cape_cod_sfs
01923,37.1,3,4,103,161,cape_cod_sfs
01929,29.5,0,0,106,170,cape_cod_sfs
01930,34,2,12,103,174,cape_cod_sfs
01937,36.5,4,4,105,160,cape_cod_sfs
01938,23.7,0,0,112,167,cape_cod_sfs
01940,43.4,3,0,101,156,cape_cod_sfs
01944,36.4,1,0,99,169,cape_cod_sfs
01945,43.9,1,0,93,164,cape_cod_sfs
01949,34.6,2,0,108,159,cape_cod_sfs
01950,10.3,6,0,127,167,cape_cod_sfs
01951,14,2,0,122,168,cape_cod_sfs
01952,6.1,1,0,130,169,cape_cod_sfs
01960,41.8,7,4,99,159,cape_cod_sfs
01965,37.3,2,0,99,166,cape_cod_sfs
01966,34.3,1,0,105,177,cape_cod_sfs
01969,20.1,0,0,117,166,cape_cod_sfs
01970,41.2,3,0,96,164,cape_cod_sfs
01982,30.4,0,0,106,166,cape_cod_sfs
01983,29.7,0,0,110,162,cape_cod_sfs
01984,33.3,2,0,104,164,cape_cod_sfs
01985,14.5,1,0,127,164,cape_cod_sfs
02019,102.8,4,0,88,118,cape_cod_sfs
02021,83.5,3,0,71,138,cape_cod_sfs
02025,73.8,0,0,64,159,cape_cod_sfs
02026,77.4,0,2,80,139,cape_cod_sfs
02030,82.3,0,0,86,134,cape_cod_sfs
02032,87.8,4,0,75,132,cape_cod_sfs
02035,98.7,1,0,71,124,cape_cod_sfs
02038,101.6,5,0,83,121,cape_cod_sfs
02043,76,0,0,64,154,cape_cod_sfs
02045,68.2,0,0,71,157,cape_cod_sfs
02047,84.7,0,0,51,166,cape_cod_sfs
02048,102.6,2,0,66,122,cape_cod_sfs
02050,87.9,0,0,48,163,cape_cod_sfs
02052,87.8,1,0,83,130,cape_cod_sfs
02053,95.4,2,0,89,124,cape_cod_sfs
02054,91.1,1,0,86,128,cape_cod_sfs
02056,95.6,3,0,80,125,cape_cod_sfs
02061,81.7,0,0,56,156,cape_cod_sfs
02062,84,3,1,76,135,cape_cod_sfs
02066,77.9,1,1,58,162,cape_cod_sfs
02067,92.1,2,0,70,130,cape_cod_sfs
02071,94.7,4,0,75,127,cape_cod_sfs
02072,89.2,7,0,66,135,cape_cod_sfs
02081,90.1,5,3,77,130,cape_cod_sfs
02090,81.3,0,0,80,136,cape_cod_sfs
02093,102.9,3,0,78,120,cape_cod_sfs
02108,63.1,6,1,85,149,cape_cod_sfs
02109,61.4,8,1,85,150,cape_cod_sfs
02110,62.4,6,1,84,150,cape_cod_sfs
02111,63.4,6,1,84,149,cape_cod_sfs
02113,61.7,7,1,85,150,cape_cod_sfs
02114,62.1,8,1,85,150,cape_cod_sfs
02115,65.5,4,1,84,147,cape_cod_sfs
02116,63.7,6,1,85,149,cape_cod_sfs
02118,65,4,1,83,148,cape_cod_sfs
02119,66.8,3,1,82,147,cape_cod_sfs
02120,66.3,3,1,84,147,cape_cod_sfs
02121,68.9,1,1,81,146,cape_cod_sfs
02122,69.2,0,1,78,147,cape_cod_sfs
02124,70.6,0,1,78,146,cape_cod_sfs
02125,67,2,1,80,148,cape_cod_sfs
02126,71.9,0,1,78,145,cape_cod_sfs
02127,64.6,1,1,81,150,cape_cod_sfs
02128,61.1,5,0,83,152,cape_cod_sfs
02129,60.3,10,1,87,150,cape_cod_sfs
02130,69.2,1,1,82,145,cape_cod_sfs
02131,72.3,0,1,80,143,cape_cod_sfs
02132,73.5,0,1,82,141,cape_cod_sfs
02133,62.7,7,1,85,149,cape_cod_sfs
02134,64.3,3,1,88,146,cape_cod_sfs
02135,66,2,1,88,145,cape_cod_sfs
02136,75.2,0,1,78,142,cape_cod_sfs
02138,62.3,2,0,90,147,cape_cod_sfs
02139,63.2,5,0,87,148,cape_cod_sfs
02140,61,2,0,91,147,cape_cod_sfs
02141,61.9,8,0,87,149,cape_cod_sfs
02142,62.6,8,0,86,149,cape_cod_sfs
02143,61.1,8,0,88,149,cape_cod_sfs
02144,59.9,4,0,91,148,cape_cod_sfs
02145,59.7,7,0,89,149,cape_cod_sfs
02148,55,9,0,91,152,cape_cod_sfs
02149,57.4,10,0,89,152,cape_cod_sfs
02150,57.8,10,0,87,152,cape_cod_sfs
02151,54.9,9,0,88,155,cape_cod_sfs
02152,59,3,0,83,154,cape_cod_sfs
02155,56.9,3,3,93,150,cape_cod_sfs
02163,63.3,4,1,88,147,cape_cod_sfs
02169,74.5,8,1,71,147,cape_cod_sfs
02170,71.7,5,1,74,148,cape_cod_sfs
02171,69.2,0,1,77,149,cape_cod_sfs
02176,52.2,4,0,94,153,cape_cod_sfs
02180,51.5,3,2,97,152,cape_cod_sfs
02184,78.1,6,4,68,146,cape_cod_sfs
02186,75.5,1,0,75,143,cape_cod_sfs
02188,77.7,7,2,66,149,cape_cod_sfs
02189,76.7,6,2,65,151,cape_cod_sfs
02190,81.9,3,2,62,147,cape_cod_sfs
02191,73.2,6,2,69,151,cape_cod_sfs
02199,64.3,4,1,84,148,cape_cod_sfs
02203,62.3,8,1,85,150,cape_cod_sfs
02205,63.5,5,1,84,149,cape_cod_sfs
02210,63.2,3,1,83,150,cape_cod_sfs
02215,64.7,4,1,85,147,cape_cod_sfs
02301,92.7,3,3,59,135,cape_cod_sfs
02302,90.9,0,3,57,139,cape_cod_sfs
02322,86.9,4,0,64,139,cape_cod_sfs
02324,103.6,0,0,47,130,cape_cod_sfs
02325,101.5,0,0,47,133,cape_cod_sfs
02330,114.2,0,0,26,139,cape_cod_sfs
02332,95.8,0,0,40,161,cape_cod_sfs
02333,96.2,0,0,50,139,cape_cod_sfs
02338,99.7,0,0,43,142,cape_cod_sfs
02339,86.3,4,0,54,151,cape_cod_sfs
02341,94.4,0,0,47,145,cape_cod_sfs
02343,85.3,2,0,62,142,cape_cod_sfs
02346,113.6,2,0,33,126,cape_cod_sfs
02347,116.3,0,0,37,113,cape_cod_sfs
02350,97.6,0,0,43,145,cape_cod_sfs
02351,87.5,2,0,57,143,cape_cod_sfs
02356,95.8,2,0,62,130,cape_cod_sfs
02357,94.7,2,0,60,132,cape_cod_sfs
02359,92.5,0,0,46,152,cape_cod_sfs
02360,114.5,0,1,21,160,cape_cod_sfs
02364,101.8,0,2,36,153,cape_cod_sfs
02366,117.8,0,0,19,150,cape_cod_sfs
02367,104.6,0,0,36,143,cape_cod_sfs
02368,81.8,4,0,68,142,cape_cod_sfs
02370,85.8,6,0,56,148,cape_cod_sfs
02375,101.1,2,0,56,127,cape_cod_sfs
02379,98.6,1,0,54,132,cape_cod_sfs
02382,91.5,1,0,53,142,cape_cod_sfs
02420,57.5,2,0,101,146,cape_cod_sfs
02421,60.3,1,0,100,145,cape_cod_sfs
02445,68,2,1,85,145,cape_cod_sfs
02446,65.8,2,1,86,146,cape_cod_sfs
02451,64.4,2,2,97,143,cape_cod_sfs
02452,63.7,3,2,95,144,cape_cod_sfs
02453,67.1,2,2,94,142,cape_cod_sfs
02457,75.3,0,0,90,138,cape_cod_sfs
02458,66.7,2,0,90,144,cape_cod_sfs
02459,70.8,0,0,87,142,cape_cod_sfs
02460,67.6,2,0,91,143,cape_cod_sfs
02461,71.1,0,0,88,141,cape_cod_sfs
02462,71.3,2,0,92,140,cape_cod_sfs
02464,71.9,0,0,88,140,cape_cod_sfs
02465,68.5,2,0,92,142,cape_cod_sfs
02466,69.6,2,0,92,141,cape_cod_sfs
02467,69.7,1,2,85,143,cape_cod_sfs
02468,70.7,2,0,90,141,cape_cod_sfs
02472,64.8,3,0,91,145,cape_cod_sfs
02474,58.8,1,1,95,148,cape_cod_sfs
02476,59.9,1,1,95,147,cape_cod_sfs
02478,62.3,2,0,93,146,cape_cod_sfs
02481,74.2,0,0,91,138,cape_cod_sfs
02482,76.7,0,0,91,136,cape_cod_sfs
02492,76.5,0,1,86,138,cape_cod_sfs
02493,70.4,0,0,97,139,cape_cod_sfs
02494,73.6,0,1,88,139,cape_cod_sfs
02532,129.5,0,0,7,143,cape_cod_sfs
02534,135.3,1,0,7,59,cape_cod_sfs
02535,117.4,0,0,44,24,cape_cod_sfs
02536,137.1,1,0,12,9,cape_cod_sfs
02537,134.6,0,0,10,251,cape_cod_sfs
02538,125.9,0,0,12,137,cape_cod_sfs
02539,137.6,0,0,36,357,cape_cod_sfs
02540,131.6,0,0,16,25,cape_cod_sfs
02542,134.8,1,0,1,174,cape_cod_sfs
02543,116.7,0,0,32,38,cape_cod_sfs
02553,133.2,0,0,7,102,cape_cod_sfs
02554,173.1,0,0,59,321,cape_cod_sfs
02556,133.6,1,0,10,44,cape_cod_sfs
02557,134.8,0,0,28,3,cape_cod_sfs
02558,129.2,0,0,10,120,cape_cod_sfs
02559,135.8,1,0,6,79,cape_cod_sfs
02561,128.4,1,0,8,187,cape_cod_sfs
02562,126.3,1,0,10,188,cape_cod_sfs
02563,130.8,1,0,7,212,cape_cod_sfs
02564,182.4,0,0,67,316,cape_cod_sfs
02568,130.4,0,0,29,12,cape_cod_sfs
02571,128.3,0,0,14,114,cape_cod_sfs
02575,126.5,0,0,35,15,cape_cod_sfs
02576,125.5,1,0,20,114,cape_cod_sfs
02584,180.8,1,0,67,318,cape_cod_sfs
02601,145.1,0,0,21,282,cape_cod_sfs
02630,139.7,0,0,19,268,cape_cod_sfs
02631,143.3,0,0,40,263,cape_cod_sfs
02632,143.9,0,0,17,286,cape_cod_sfs
02633,152.6,0,0,47,272,cape_cod_sfs
02635,145.7,0,0,12,314,cape_cod_sfs
02637,140.9,0,0,23,269,cape_cod_sfs
02638,140.6,0,0,29,264,cape_cod_sfs
02639,148.9,1,0,34,276,cape_cod_sfs
02641,139.5,0,0,33,260,cape_cod_sfs
02642,137.7,0,0,50,252,cape_cod_sfs
02643,147.8,0,0,51,263,cape_cod_sfs
02644,138.1,1,0,3,305,cape_cod_sfs
02645,148.1,0,0,40,270,cape_cod_sfs
02646,150.8,0,0,39,275,cape_cod_sfs
02647,147.9,0,0,21,292,cape_cod_sfs
02648,141.3,0,0,12,287,cape_cod_sfs
02649,143.7,0,0,10,335,cape_cod_sfs
02650,151.8,0,0,48,270,cape_cod_sfs
02652,112.9,0,0,54,224,cape_cod_sfs
02653,144.8,1,0,48,261,cape_cod_sfs
02655,146.3,0,0,15,302,cape_cod_sfs
02657,107.4,0,0,49,216,cape_cod_sfs
02659,151.5,0,0,43,273,cape_cod_sfs
02660,144.1,1,0,32,268,cape_cod_sfs
02663,132.7,0,0,52,245,cape_cod_sfs
02664,146.4,0,0,29,276,cape_cod_sfs
02666,121.5,0,0,53,233,cape_cod_sfs
02667,128.1,0,0,50,241,cape_cod_sfs
02668,137.9,0,0,16,265,cape_cod_sfs
02670,148.6,1,0,31,278,cape_cod_sfs
02671,149.5,1,0,36,276,cape_cod_sfs
02672,147.2,0,0,20,291,cape_cod_sfs
02673,147.1,0,0,25,282,cape_cod_sfs
02675,142.3,0,0,26,269,cape_cod_sfs
02702,106.3,1,0,44,102,cape_cod_sfs
02703,100.2,11,4,67,112,cape_cod_sfs
02713,107.7,0,0,42,43,cape_cod_sfs
02715,100.5,0,0,52,103,cape_cod_sfs
02717,110.1,7,0,37,100,cape_cod_sfs
02718,114,1,1,43,115,cape_cod_sfs
02719,113.9,1,0,28,75,cape_cod_sfs
02720,99.5,5,1,47,93,cape_cod_sfs
02721,94,3,1,50,86,cape_cod_sfs
02723,96.1,3,1,49,89,cape_cod_sfs
02724,92.2,3,1,53,88,cape_cod_sfs
02725,93.4,3,1,53,92,cape_cod_sfs
02726,98.7,4,1,50,97,cape_cod_sfs
02738,126,0,0,17,92,cape_cod_sfs
02739,119.3,0,0,23,80,cape_cod_sfs
02740,108.7,4,0,33,78,cape_cod_sfs
02743,114.7,5,0,29,92,cape_cod_sfs
02744,109.5,1,0,32,71,cape_cod_sfs
02745,110.6,10,0,33,90,cape_cod_sfs
02746,108.9,4,0,34,83,cape_cod_sfs
02747,103.6,0,0,39,83,cape_cod_sfs
02748,103.3,0,0,39,65,cape_cod_sfs
02760,101.1,5,0,72,115,cape_cod_sfs
02762,104.3,7,0,74,118,cape_cod_sfs
02763,102.1,12,0,70,115,cape_cod_sfs
02764,103.6,1,0,53,108,cape_cod_sfs
02766,107.4,5,0,60,119,cape_cod_sfs
02767,107.8,1,2,50,123,cape_cod_sfs
02769,97.2,0,0,60,105,cape_cod_sfs
02770,121.4,0,0,25,105,cape_cod_sfs
02771,92,5,0,66,103,cape_cod_sfs
02777,93.7,0,0,56,96,cape_cod_sfs
02779,108,1,0,47,109,cape_cod_sfs
