fips,p_pga_ge_0_1g_per_year,p_pga_ge_0_2g_per_year,mmi6_100yr,model
21173,0.0008709,0.0002788,0.1509,conus-2023-grid
21175,0.0008244,0.0002522,0.08633,conus-2023-grid
21177,0.002776,0.0009251,0.2682,conus-2023-grid
21179,0.0008937,0.0002117,0.2144,conus-2023-grid
21181,0.0008373,0.0002761,0.1402,conus-2023-grid
21183,0.002347,0.0007353,0.2439,conus-2023-grid
21185,0.0008573,0.0002171,0.1382,conus-2023-grid
21187,0.000715,0.0001906,0.1544,conus-2023-grid
21189,0.001077,0.0003253,0.1338,conus-2023-grid
21191,0.0007003,0.0002097,0.09237,conus-2023-grid
21193,0.001261,0.0004008,0.1156,conus-2023-grid
21195,0.001187,0.000404,0.135,conus-2023-grid
21197,0.0008886,0.0002705,0.1103,conus-2023-grid
21199,0.001098,0.0002954,0.1772,conus-2023-grid
21201,0.0007915,0.0002589,0.1583,conus-2023-grid
21203,0.001004,0.0002786,0.123,conus-2023-grid
21205,0.0008111,0.0002648,0.1041,conus-2023-grid
21207,0.0009896,0.0002306,0.1913,conus-2023-grid
21209,0.0007642,0.0002182,0.1403,conus-2023-grid
21211,0.0008033,0.0002027,0.1442,conus-2023-grid
21213,0.001625,0.0004487,0.273,conus-2023-grid
21215,0.0008444,0.0002083,0.1615,conus-2023-grid
21217,0.0008772,0.0001953,0.1916,conus-2023-grid
21219,0.002632,0.0008813,0.2668,conus-2023-grid
21221,0.004741,0.001918,0.4385,conus-2023-grid
21223,0.0007891,0.0002013,0.09609,conus-2023-grid
21225,0.005681,0.002271,0.4472,conus-2023-grid
21227,0.001511,0.0004025,0.2546,conus-2023-grid
21229,0.0008222,0.0001959,0.1567,conus-2023-grid
21231,0.001212,0.0003131,0.1276,conus-2023-grid
21233,0.004651,0.001782,0.3628,conus-2023-grid
21235,0.001903,0.0006409,0.1633,conus-2023-grid
21237,0.0008981,0.0002721,0.1146,conus-2023-grid
21239,0.0007851,0.0002123,0.176,conus-2023-grid
22001,0.0001384,0.00003943,0.0677,conus-2023-grid
22003,0.00015,0.00004151,0.06625,conus-2023-grid
22005,0.0001622,0.00004684,0.07692,conus-2023-grid
22007,0.000157,0.00004806,0.06965,conus-2023-grid
22009,0.0001898,0.00004529,0.08095,conus-2023-grid
22011,0.0001481,0.00004351,0.06471,conus-2023-grid
