fips,strategic_class,strategic_site_ids,strategic_km,strategic_bearing,uasi_share,uasi_area
12075,E,,,,0,
12077,E,,,,0,
12079,E,,,,0,
12081,E,,,,0,
12083,E,,,,0,
12085,E,,,,0,
12086,C1,metro_33100,,,0.01033,12
12087,E,,,,0,
12089,A,kings_bay,22.2,24,0.000407,30
12091,E,,,,0,
12093,E,,,,0,
12095,C2,metro_36740,,,0.005541,25
12097,C2,metro_36740,,,0.001504,25
12099,C1,metro_33100,,,0.005697,12
12101,C2,metro_45300,,,0.002008,22
12103,C2,metro_45300,,,0.003429,22
12105,E,,,,0,
12107,E,,,,0,
12109,C2,metro_27260,,,0.001234,30
12111,E,,,,0,
12113,E,,,,0,
12115,E,,,,0,
12117,C2,metro_36740,,,0.001825,25
12119,E,,,,0,
12121,E,,,,0,
12123,E,,,,0,
12125,E,,,,0,
12127,E,,,,0,
12129,E,,,,0,
12131,E,,,,0,
12133,E,,,,0,
13001,E,,,,0,
13003,E,,,,0,
13005,E,,,,0,
13007,E,,,,0,
13009,D,metro_12060,54.2,304,0,
13011,D,metro_12060,48.2,294,0,
13013,C1,metro_12060,,,0.0003077,13
13015,C1,metro_12060,,,0.0004016,13
13017,E,,,,0,
13019,E,,,,0,
13021,D,metro_12060,69.9,296,0,
13023,D,metro_12060,124.4,309,0,
13025,E,,,,0,
13027,E,,,,0,
13029,E,,,,0,
13031,E,,,,0,
13033,D,metro_12060,148.4,292,0,
13035,C1,metro_12060,,,0.00009396,13
13037,E,,,,0,
13039,A,kings_bay,,,0,
13043,E,,,,0,
13045,C1,metro_12060,,,0.00044,13
13047,E,,,,0,
13049,E,,,,0,
13051,E,,,,0,
13053,E,,,,0,
13055,E,,,,0,
13057,C1,metro_12060,,,0.0009843,13
13059,D,metro_12060,32.4,278,0,
13061,E,,,,0,
13063,C1,metro_12060,,,0.001099,13
13065,E,,,,0,
13067,C1,metro_12060,,,0.002826,13
13069,E,,,,0,
13071,E,,,,0,
13073,D,metro_12060,121.8,275,0,
13075,E,,,,0,
13077,C1,metro_12060,,,0.0005398,13
13079,D,metro_12060,77.7,297,0,
13081,E,,,,0,
13083,E,,,,0,
13085,C1,metro_12060,,,0.00009887,13
13087,E,,,,0,
13089,C1,metro_12060,,,0.002821,13
13091,D,metro_12060,149.4,312,0,
13093,E,,,,0,
13095,E,,,,0,
13097,C1,metro_12060,,,0.0005324,13
13099,E,,,,0,
13101,E,,,,0,
13103,E,,,,0,
13105,D,metro_12060,79.6,259,0,
13107,E,,,,0,
13109,E,,,,0,
13111,E,,,,0,
13113,C1,metro_12060,,,0.0004397,13
13115,E,,,,0,
13117,C1,metro_12060,,,0.0009281,13
13119,D,metro_12060,65.8,229,0,
13121,C1,metro_12060,,,0.003939,13
13123,E,,,,0,
13125,D,metro_12060,90.8,297,0,
13127,E,,,,0,
13129,E,,,,0,
13131,E,,,,0,
13133,D,metro_12060,29.3,284,0,
13135,C1,metro_12060,,,0.003534,13
13137,D,metro_12060,41.2,264,0,
13139,D,metro_12060,27.5,302,0,
13141,D,metro_12060,58.3,311,0,
13143,C1,metro_12060,,,0.0001105,13
13145,E,,,,0,
13147,D,metro_12060,81,240,0,
13149,C1,metro_12060,,,0.00004216,13
13151,C1,metro_12060,,,0.0008886,13
13153,D,metro_12060,88.9,313,0,
13155,E,,,,0,
13157,D,metro_12060,46.2,245,0,
13159,C1,metro_12060,,,0.0000538,13
13161,E,,,,0,
13163,D,metro_12060,116.2,301,0,
13165,E,,,,0,
13167,D,metro_12060,121.7,307,0,
13169,D,metro_12060,54.1,313,0,
13171,D,metro_12060,19.9,277,0,
13173,E,,,,0,
13175,D,metro_12060,130.5,312,0,
13177,E,,,,0,
13179,E,,,,0,
13181,D,metro_12060,98.3,259,0,
13183,E,,,,0,
13185,E,,,,0,
13187,C1,metro_12060,,,0.0001236,13
13189,D,metro_12060,95.6,280,0,
13191,E,,,,0,
13193,E,,,,0,
13195,D,metro_12060,46.6,255,0,
13197,E,,,,0,
13199,C1,metro_12060,,,0.00007604,13
13201,E,,,,0,
13205,E,,,,0,
13207,D,metro_12060,41.8,306,0,
13209,E,,,,0,
13211,C1,metro_12060,,,0.00007404,13
13213,E,,,,0,
13215,E,,,,0,
13217,C1,metro_12060,,,0.0004153,13
13219,D,metro_12060,27.6,298,0,
13221,D,metro_12060,54.2,279,0,
13223,C1,metro_12060,,,0.0006233,13
13225,D,metro_12060,92.8,301,0,
13227,C1,metro_12060,,,0.0001226,13
13229,E,,,,0,
13231,C1,metro_12060,,,0.00006979,13
13233,E,,,,0,
13235,D,metro_12060,139.2,307,0,
13237,D,metro_12060,36.6,277,0,
13239,E,,,,0,
13241,D,metro_12060,66.2,234,0,
13243,E,,,,0,
13245,D,metro_12060,134.3,279,0,
13247,C1,metro_12060,,,0.0003451,13
13249,E,,,,0,
13251,E,,,,0,
13253,E,,,,0,
13255,C1,metro_12060,,,0.0002485,13
13257,D,metro_12060,64.1,267,0,
13259,E,,,,0,
13261,E,,,,0,
13263,E,,,,0,
13265,D,metro_12060,55.7,274,0,
13267,E,,,,0,
13269,D,metro_12060,118.7,315,0,
13271,E,,,,0,
13273,E,,,,0,
13275,E,,,,0,
13277,E,,,,0,
13279,E,,,,0,
13281,D,metro_12060,80.4,228,0,
13283,E,,,,0,
13285,E,,,,0,
13287,E,,,,0,
13289,D,metro_12060,99.3,297,0,
13291,D,metro_12060,106,226,0,
13293,D,metro_12060,34.9,291,0,
13295,E,,,,0,
13297,C1,metro_12060,,,0.000357,13
13299,E,,,,0,
13301,D,metro_12060,79.4,286,0,
13303,D,metro_12060,98.8,297,0,
13305,E,,,,0,
13307,E,,,,0,
13309,E,,,,0,
13311,D,metro_12060,23.9,250,0,
13313,E,,,,0,
13315,E,,,,0,
13317,D,metro_12060,70,256,0,
13319,D,metro_12060,84.8,306,0,
13321,E,,,,0,
15001,E,,,,0,
15003,E,,,,0.009747,27
15005,E,,,,0,
15007,E,,,,0,
15009,E,,,,0,
16001,E,,,,0,
16003,E,,,,0,
16005,E,,,,0,
16007,E,,,,0,
16009,E,,,,0,
16011,E,,,,0,
16013,E,,,,0,
16015,E,,,,0,
16017,E,,,,0,
16019,E,,,,0,
16021,E,,,,0,
16023,E,,,,0,
16025,E,,,,0,
16027,E,,,,0,
16029,E,,,,0,
16031,E,,,,0,
16033,E,,,,0,
