fips,smoke_days_35,smoke_days_55,smoke_trend,hms_smoke_days,smoke_basis
39099,0.793,0.397,0.529,15.8,monitor
39101,1.26,0.56,0.427,17.5,imputed
39103,0.764,0.382,0.509,16.8,monitor
39105,0.275,0.275,0.108,14.9,imputed
39107,0.701,0.421,0.233,19.6,imputed
39109,0.945,0.405,0.316,18.5,imputed
39111,0.24,0.24,0.0919,14.4,imputed
39113,0.907,0.389,0.605,18,monitor
39115,0.271,0.271,0.101,14.6,imputed
39117,1.21,0.536,0.423,16.8,imputed
39119,0.275,0.275,0.104,14.9,imputed
39121,0.24,0.24,0.0903,14.4,imputed
39123,0.665,0.333,0.222,19.6,imputed
39125,0,0,0,20.2,imputed
39127,0.282,0.282,0.108,15.2,imputed
39129,1.14,0.508,0.412,15.9,imputed
39131,1.04,0.414,0.39,15.8,imputed
39133,0,0,0,16.1,monitor
39135,1,0.375,0.667,18.6,monitor
39137,0.71,0.426,0.244,19.9,imputed
39139,0.785,0.392,0.275,17,imputed
39141,1.06,0.424,0.375,16.1,imputed
39143,0.661,0.331,0.22,19.5,imputed
39145,0.633,0.253,0.413,14.9,monitor
39147,0.636,0.318,0.217,18.8,imputed
39149,0.67,0.402,0.219,18.8,imputed
39151,1,0.375,0.619,15.4,monitor
39153,0.848,0.448,0.47,16.2,monitor
39155,1.12,0.375,0.607,16,monitor
39157,0,0,0,14.9,imputed
39159,1.29,0.572,0.445,17.9,imputed
39161,0.719,0.431,0.239,20.1,imputed
39163,0.28,0.28,0.105,15.1,imputed
39165,1.61,0.586,0.551,17.9,imputed
39167,0.275,0.275,0.104,14.9,imputed
39169,0.733,0.366,0.253,15.9,imputed
39171,0.863,0.345,0.285,20.9,imputed
39173,0.674,0.337,0.228,19.9,imputed
39175,0.652,0.391,0.224,18.2,imputed
40001,0,0,0,18.6,monitor
40003,0.596,0.149,0.14,21,imputed
40005,0.477,0,0.168,15.8,imputed
40007,0.327,0.0512,0.0684,19.2,imputed
40009,0.241,0,0.0466,16.8,imputed
40011,0.275,0,0.0697,19.1,imputed
40013,0.125,0,0.0437,15,imputed
40015,0.294,0,0.0764,16.8,imputed
40017,0.375,0,0.0899,18.1,imputed
40019,0.125,0,0.0357,15.8,monitor
40021,0,0,0,18.6,imputed
40023,0.489,0,0.167,16.1,imputed
40025,0.31,0.0486,0.0554,18.2,imputed
40027,0.472,0,0.167,17.1,monitor
40029,0.492,0,0.177,16.2,imputed
40031,0.25,0,0.0714,15.8,monitor
40033,0.25,0,0.0739,14.2,imputed
40035,1.88,0.47,0.612,21,imputed
40037,0.467,0,0.144,19.6,imputed
40039,0.272,0,0.0608,18.9,imputed
40041,1.72,0.431,0.588,19.2,imputed
40043,0.263,0,-0.0202,18.8,monitor
40045,0.277,0,0.0562,19.2,imputed
40047,0.806,0.134,0.193,19.8,imputed
40049,0.138,0,0.0407,16.5,imputed
40051,0.407,0,0.111,16.1,imputed
40053,0.596,0.149,0.151,21,imputed
40055,0.283,0,0.0637,16.1,imputed
40057,0.261,0,0.0574,14.9,imputed
40059,0.268,0,0.0516,18.6,imputed
40061,0,0,0,17.8,imputed
40063,0.523,0,0.187,17.2,imputed
40065,0.263,0,0.056,15,imputed
40067,0.126,0,0.0372,15.1,imputed
40069,0.131,0,0.045,15.8,imputed
40071,0.768,0.125,0.155,20.2,monitor
40073,0.403,0,0.104,19.5,imputed
40075,0.296,0,0.0683,16.9,imputed
40077,0.523,0,0.202,17.2,imputed
40079,0,0,0,17.8,imputed
40081,0.385,0,0.114,18.6,imputed
40083,0.393,0,0.105,19,imputed
40085,0.127,0,0.0415,15.2,imputed
40087,0.419,0,0.12,16.6,imputed
40089,0,0,0,16.4,imputed
40091,0.549,0,0.197,18.1,imputed
40093,0.295,0,0.0641,20.5,imputed
40095,0.125,0,0.0403,15,imputed
40097,0.468,0,0.159,20.1,imputed
40099,0.129,0,0.0411,15.5,imputed
40101,0,0,0,19.2,imputed
40103,0.847,0.141,0.224,20.8,imputed
40105,0.491,0,0.21,21,monitor
40107,0.583,0,0.192,19.2,imputed
40109,0.375,0,0.107,18.1,monitor
40111,0.458,0,0.156,19.2,imputed
40113,0.795,0,0.24,22,imputed
40115,1.69,0.424,0.453,21.1,monitor
40117,0.832,0.139,0.249,20.4,imputed
40119,0.416,0,0.118,20.1,imputed
40121,0.5,0,0.167,16.5,monitor
40123,0.141,0,0.0467,16.9,imputed
40125,0.438,0,0.141,17.4,imputed
40127,0.504,0,0.184,16.6,imputed
40129,0.272,0,0.0505,18.9,imputed
40131,0.509,0,0.162,21.4,imputed
40133,0.454,0,0.154,18,imputed
40135,0,0,0,17.5,monitor
40137,0.12,0,0.0346,14.4,imputed
40139,0.302,0.0473,0.0575,17.8,imputed
40141,0.241,0,0.0581,13.8,imputed
40143,0.5,0,0.0714,21,monitor
40145,0.467,0,0.157,19.6,imputed
40147,0.804,0,0.299,22.2,monitor
40149,0.259,0,0.0562,18,imputed
40151,0.295,0,0.0606,20.5,imputed
40153,0.273,0,0.0579,19,imputed
41001,5.33,1.71,0.393,25.5,imputed
41003,7.98,5.51,1.24,17.9,imputed
41005,1.8,0.598,0.199,19.8,imputed
41007,1.57,0.447,0.193,12.8,imputed
41009,1.87,0.535,0.243,15.2,imputed
41011,7.17,4.69,1.17,20.1,imputed
41013,6.41,4.46,-0.227,25.9,monitor
41015,9.22,6.03,1.31,25.9,imputed
41017,8.05,4.98,1.01,28.8,imputed
41019,12.9,8.9,1.86,28.9,imputed
41021,9.01,5.38,0.858,24.8,imputed
41023,6.62,4.09,0.55,23.6,imputed
41025,3.67,2.08,0.191,24.8,monitor
41027,1.85,0.617,0.205,20.4,imputed
41029,12.8,9.76,0.959,34,monitor
41031,7.39,4.57,0.79,26.4,imputed
41033,9.88,8.44,0.417,32.6,monitor
41035,14.9,10.5,0.185,30.8,monitor
41037,10.5,3.16,-0.222,28.8,monitor
41039,10.6,7.12,1.9,24.9,monitor
41041,6.75,4.66,1.06,15.1,imputed
41043,9.99,6.9,1.38,22.4,imputed
41045,5.2,1.67,0.475,24.9,imputed
41047,1.98,0.659,0.232,21.8,imputed
41049,8.97,5.35,1,24.6,imputed
41051,1.93,0.67,-0.261,18.4,monitor
41053,2,0.57,0.333,16.2,imputed
41055,9.19,5.49,0.858,25.2,imputed
41057,1.66,0.474,0.246,13.5,imputed
41059,6.26,3.51,0.714,25.4,imputed
41061,5.8,3.25,0.664,23.5,imputed
41063,5.92,3.32,0.729,24,imputed
41065,2.19,0.731,0.205,24.1,imputed
41067,2.39,0.705,-0.451,16,monitor
41069,7.14,4.42,0.7,25.5,imputed
41071,1.9,0.544,0.33,15.5,imputed
42001,1.25,0.5,0.738,13.1,monitor
42003,1.25,0.375,0.738,14.8,monitor
42005,0.645,0.39,0.382,14.5,monitor
42007,1.38,0.25,0.821,15,monitor
42009,0.891,0.637,0.37,13.6,imputed
42011,0.875,0.625,0.536,13.4,monitor
42013,0.904,0.649,0.555,13.6,monitor
42015,0.125,0,0.0357,15.2,monitor
42017,0.891,0.636,0.368,14,imputed
42019,0.663,0.398,0.246,15.1,imputed
42021,0.5,0.375,0.286,13.8,monitor
42023,0.907,0.648,0.37,14,imputed
42025,0.934,0.8,0.398,13.9,imputed
42027,0.934,0.674,0.575,14,monitor
42029,1.01,0.51,0.581,13.6,monitor
42031,0.658,0.395,0.253,15,imputed
42033,0.883,0.631,0.357,13.6,imputed
42035,0.924,0.66,0.384,14.2,imputed
42037,0.287,0,0.122,14.4,imputed
42039,0.741,0.296,0.262,16.8,imputed
42041,1,0.5,0.619,13.2,monitor
42043,1.12,0.625,0.655,13.4,monitor
42045,0.875,0.5,0.488,13.9,monitor
42047,0.907,0.648,0.361,14,imputed
42049,0.625,0.375,0.417,17.4,monitor
42051,0.131,0,0.0329,13.9,monitor
42053,0.674,0.405,0.253,15.4,imputed
42055,0.656,0.262,0.296,13.2,imputed
42057,0.675,0.27,0.293,13.6,imputed
42059,0.131,0,0.0329,14.4,monitor
42061,0.891,0.637,0.375,13.6,imputed
42063,1.59,0.713,0.784,14.1,monitor
42065,0.63,0.378,0.252,14.4,imputed
42067,1.04,0.519,0.437,13.8,imputed
42069,0.762,0.51,0.46,14.1,monitor
42071,1.5,0.625,0.905,13,monitor
42073,1.4,0.254,0.507,15.1,imputed
42075,1.1,0.692,0.646,13.4,monitor
42077,0.91,0.78,0.557,13.4,monitor
42079,0.287,0,0.117,14.4,imputed
42081,0.147,0,0.0277,14.8,monitor
42083,0.476,0,0.184,14.8,imputed
42085,0.721,0.298,0.433,15.9,monitor
42087,0.899,0.642,0.376,13.9,imputed
42089,0.86,0.614,0.343,13.9,imputed
42091,0.875,0.625,0.488,13.9,monitor
42093,0.284,0,0.122,14.8,imputed
42095,0.875,0.625,0.536,14.1,monitor
42097,1.26,0.698,0.532,14.4,imputed
42099,1.02,0.509,0.447,13.5,imputed
42101,1.12,0.75,0.655,14.2,monitor
42103,0.771,0.514,0.309,13.6,imputed
42105,0.222,0,0.0896,14.6,imputed
42107,0.883,0.631,0.382,13.5,imputed
42109,1.26,0.698,0.542,14.4,imputed
42111,0.207,0,0.0876,13.9,imputed
42113,0.201,0,0.081,14.5,imputed
42115,0.324,0,0.0603,14.5,monitor
42117,0.151,0,0.0432,14.8,monitor
42119,0.279,0,0.118,14.5,imputed
42121,0.691,0.277,0.254,15.6,imputed
42123,0.508,0,0.191,15.8,imputed
42125,1.12,0.375,0.702,14.8,monitor
42127,0.771,0.514,0.301,13.6,imputed
42129,0.125,0,0.0357,14.4,monitor
42131,0.177,0,0.0296,14.5,monitor
42133,1.14,0.509,0.665,12.6,monitor
44001,0.631,0,0.233,13.8,imputed
44003,0.417,0,0.224,13.8,monitor
44005,0.533,0,0.193,14.1,imputed
44007,0.375,0,0.202,13.5,monitor
44009,0.539,0,0.359,14.5,monitor
45001,0,0,0,9,imputed
45003,0,0,0,8.88,imputed
45005,0,0,0,8.12,imputed
45007,0.267,0,0.123,9.75,imputed
45009,0.258,0,0.119,8.25,imputed
45011,0,0,0,9.5,imputed
45013,0.125,0,0.0551,7.38,imputed
45015,0,0,0,7.5,imputed
45017,0.161,0,0.0765,7.88,imputed
45019,0,0,0,7.38,monitor
45021,0.275,0,0.131,9.75,imputed
45023,0.122,0,0.0576,9.12,imputed
45025,0.148,0,0.0776,9.38,monitor
45027,0.174,0,0.0807,8,imputed
45029,0,0,0,8,imputed
45031,0.182,0,0.0804,8.75,imputed
45033,0.185,0,0.0864,8.5,imputed
45035,0,0,0,7.38,imputed
45037,0,0,0,9.62,monitor
45039,0.181,0,0.0882,8.88,imputed
45041,0.139,0,0.08,8.38,monitor
45043,0,0,0,7.5,imputed
45045,0.25,0,0.167,9.25,monitor
45047,0,0,0,9.5,imputed
45049,0.136,0,0.0609,8,imputed
45051,0,0,0,7,monitor
45053,0.133,0,0.0595,7.88,imputed
45055,0.176,0,0.0809,8.62,imputed
45057,0.188,0,0.0888,9,imputed
45059,0.264,0,0.124,9.38,imputed
45061,0.185,0,0.0859,8.5,imputed
45063,0.125,0,0.0357,8,monitor
45065,0,0,0,9.75,imputed
45067,0.177,0,0.082,8.12,imputed
45069,0.193,0,0.0888,9.25,imputed
45071,0.293,0,0.139,9.38,imputed
45073,0.271,0,0.118,9.88,imputed
45075,0.163,0,0.0773,8,imputed
45077,0.271,0,0.118,9.88,imputed
45079,0.14,0,0.0799,8.12,monitor
45081,0,0,0,9.12,imputed
45083,0.25,0,0.167,9.12,monitor
45085,0.163,0,0.0763,8,imputed
45087,0.268,0,0.122,9.5,imputed
45089,0.163,0,0.0751,7.5,imputed
45091,0.128,0,0.0854,9.88,monitor
46003,1.13,0.756,0.244,29.4,imputed
46005,1.35,0.492,0.283,30.5,imputed
46007,1.3,0.826,0.223,27.1,imputed
46009,2.19,1.1,0.491,28.5,imputed
46011,1.21,0.536,0.542,30.5,monitor
46013,1.83,0.564,0.679,32.8,monitor
46015,1.13,0.753,0.223,29.2,imputed
46017,1.15,0.766,0.219,29.8,imputed
46019,1.89,0.811,0.256,30.1,imputed
46021,1.88,0.627,0.322,31.4,imputed
46023,2.17,1.09,0.469,28.2,imputed
46025,1.37,0.498,0.3,30.9,imputed
46027,2.2,1.1,0.525,28.8,monitor
46029,1.38,0.5,0.56,31,monitor
46031,3.06,1.11,0.483,30.5,imputed
46033,1.71,0.63,0.677,28,monitor
46035,1.17,0.65,0.276,29.2,imputed
46037,1.47,0.534,0.33,33.1,imputed
46039,1.18,0.523,0.283,30.8,imputed
46041,1.17,0.782,0.201,30.4,imputed
46043,2.19,1.1,0.478,28.5,imputed
46045,1.94,0.645,0.357,32.2,imputed
46047,1.41,0.512,0.201,26.2,imputed
46049,1.9,0.635,0.354,31.8,imputed
46051,1.39,0.504,0.32,31.2,imputed
46053,1.1,0.731,0.229,28.4,imputed
46055,1.43,0.909,0.235,29.9,imputed
46057,1.38,0.5,0.317,31,imputed
46059,1.15,0.766,0.223,29.8,imputed
46061,1.17,0.65,0.28,29.2,imputed
46063,2.95,1.07,0.467,29.4,imputed
46065,1.15,0.767,0.669,29.9,monitor
46067,2.25,1.13,0.513,29.2,imputed
46069,1.14,0.763,0.206,29.6,imputed
46071,1.38,0.875,0.536,28.8,monitor
46073,1.16,0.773,0.234,30,imputed
46075,1.12,0.75,0.205,29.1,imputed
46077,1.15,0.511,0.245,30,imputed
46079,1.13,0.504,0.26,29.6,imputed
46081,1.49,0.541,0.22,27.8,imputed
46083,1.16,0.642,0.26,28.9,imputed
46085,1.14,0.76,0.213,29.5,imputed
46087,1.19,0.661,0.272,29.8,imputed
46089,1.95,0.65,0.349,32.5,imputed
46091,1.98,0.66,0.437,33,imputed
46093,1.9,0.814,0.277,30.2,imputed
46095,1.36,0.867,0.23,28.5,imputed
46097,1.15,0.513,0.271,30.1,imputed
46099,1.15,0.64,0.523,28.6,monitor
46101,1.18,0.653,0.263,29.4,imputed
46102,1.72,0.737,0.279,27.4,imputed
46103,1.76,0.75,0.578,28.1,monitor
46105,3.09,1.12,0.464,30.8,imputed
46107,1.18,0.785,0.205,30.5,imputed
46109,1.43,0.52,0.338,32.2,imputed
46111,1.16,0.517,0.269,30.4,imputed
46115,1.86,0.62,0.381,31,imputed
46117,1.15,0.769,0.203,29.9,imputed
46119,1.17,0.779,0.201,30.2,imputed
46121,1.34,0.852,0.229,28,imputed
46123,1.11,0.737,0.205,28.6,imputed
46125,2.22,1.11,0.508,28.9,imputed
46127,0.814,0.411,0.211,28.5,monitor
46129,1.19,0.792,0.222,30.8,imputed
46135,2.25,1.13,0.507,29.2,imputed
46137,1.96,0.841,0.318,31.2,imputed
47001,0.695,0,0.296,12.4,imputed
47003,0.119,0,0.0537,12,imputed
47005,0.263,0,0.117,15.2,imputed
47007,0.337,0,0.136,12.1,imputed
47009,0.379,0,0.248,11.1,monitor
47011,0.319,0,0.143,11.5,imputed
47013,0.66,0,0.285,11.8,imputed
47015,0.122,0,0.0545,11.6,imputed
47017,0.244,0,0.108,15.5,imputed
47019,0.241,0,0.105,10.4,imputed
47021,0.261,0,0.111,14.5,imputed
47023,0.244,0,0.106,15.5,imputed
47025,0.448,0,0.197,11.5,imputed
47027,0.146,0,0.0618,13.9,imputed
47029,0.135,0,0.0522,10.5,imputed
47031,0.337,0,0.147,12.1,imputed
47033,0.114,0,0.0502,17.8,imputed
47035,0.128,0,0.0527,12,imputed
47037,0.25,0,0.0714,13.9,monitor
47039,0.232,0,0.102,14.8,imputed
47041,0.124,0,0.0544,11.8,imputed
47043,0.25,0,0.109,14.5,imputed
47045,0.125,0,0.0357,19.6,monitor
47047,0,0,0,17.4,imputed
47049,0.13,0,0.0545,12.4,imputed
47051,0.16,0,0.0703,12.1,imputed
47053,0.112,0,0.0491,17.5,imputed
47055,0,0,0,13,imputed
47057,0.646,0,0.281,11.5,imputed
47059,0.241,0,0.104,10.4,imputed
47061,0.33,0,0.143,11.9,imputed
47063,0.604,0,0.264,10.8,imputed
47065,0.344,0,0.225,11.9,monitor
47067,0.433,0,0.189,11.1,imputed
47069,0.25,0,0.107,15.9,imputed
47071,0,0,0,14.4,imputed
47073,0.247,0,0.108,10.6,imputed
47075,0.281,0,0.122,17.9,imputed
47077,0.236,0,0.103,15,imputed
47079,0.272,0,0.117,15.8,imputed
47081,0.137,0,0.0616,13.9,imputed
47083,0.269,0,0.113,15.6,imputed
47085,0.259,0,0.112,15,imputed
47087,0.141,0,0.0593,13.4,imputed
47089,0.618,0,0.27,11,imputed
47091,0.777,0,0.332,10.9,imputed
47093,0.632,0,0.318,11.4,monitor
47095,0.138,0,0.056,21.5,imputed
47097,0.126,0,0.0532,19.6,imputed
47099,0,0,0,13.4,monitor
47101,0,0,0,14.2,imputed
47103,0.163,0,0.0735,12.4,imputed
47105,0.133,0,0.0889,11.4,monitor
47107,0.128,0,0.082,11.6,monitor
47109,0.226,0,0.0999,14.4,imputed
47111,0.125,0,0.0519,14.8,imputed
47113,0.264,0,0.0992,16.2,monitor
47115,0.326,0,0.146,11.8,imputed
47117,0.124,0,0.0561,12.5,imputed
47119,0.125,0,0.0357,13.2,monitor
