fips,sdwis_violation_pop_share,cws_pop_share
22005,0.334,0.253
22007,0,1
22009,0.448,1
22011,0.346,1
22013,0.801,1
22015,0.198,1
22017,0.947,1
22019,0.106,0.939
22021,0.611,1
22023,0.775,1
22025,0.532,1
22027,0.585,1
22029,0.797,1
22031,0.74,1
22033,0.0215,1
22035,1,1
22037,0.128,1
22039,0.734,1
22041,0.938,1
22043,0.593,1
22045,0.201,1
22047,0.355,1
22049,0.733,1
22051,0.337,1
22053,0.302,1
22055,0.116,1
22057,0,0.991
22059,0.802,1
22061,0.424,1
22063,0.169,1
22065,0.896,1
22067,0.886,1
22069,0.169,1
22071,1,1
22073,0.766,1
22075,0.349,1
22077,0.726,1
22079,0.206,1
22081,0.85,1
22083,0.345,1
22085,0.99,1
22087,0,1
22089,0,1
22091,0.129,0.953
22093,0.678,1
22095,0,1
22097,0.553,1
22099,0.918,1
22101,0.913,1
22103,0.333,0.918
22105,0.746,0.972
22107,0.847,1
22109,0,1
22111,0.897,1
22113,0.485,1
22115,0.447,1
22117,0.628,0.725
22119,0.811,1
22121,0.221,1
22123,1,1
22125,0.582,1
22127,1,1
23001,0.0564,0.501
23003,0.142,0.452
23005,0.0146,0.584
23007,0.186,0.495
23009,0.274,0.356
23011,0.00296,0.451
23013,0.0515,0.625
23015,0.161,0.402
23017,0.0399,0.34
23019,0.013,0.488
23021,0.436,0.495
23023,0,0.328
23025,0.21,0.415
23027,0.0151,0.273
23029,0.242,0.394
23031,0.325,0.665
24001,0.118,0.965
24003,0.00307,0.865
24005,0.206,0.00288
24009,0.106,0.389
24011,0.112,0.388
24013,0.0505,0.562
24015,0.734,0.508
24017,0.00399,0.72
24019,0.145,0.622
24021,0.0457,0.666
24023,0.0596,0.479
24025,0.0845,0.647
24027,0.00169,0.863
24029,0.527,0.594
24031,0,1
24033,0.959,0.0273
24035,0.228,0.368
24037,0.0399,0.802
24039,0.349,0.454
24041,0.123,0.607
24043,0.0113,0.718
24045,0.0397,0.458
24047,0.568,1
24510,0.998,1
25001,0.0099,1
25003,0.0135,0.886
25005,0.123,1
25007,0,1
25009,0.0724,1
25011,0.00109,0.711
25013,0.0499,0.921
25015,0.284,0.855
25017,0.191,0.989
25019,0,1
25021,0.0769,1
25023,0.137,1
25025,0.2,1
25027,0.0767,0.851
26001,0,0.0639
26003,0.115,0.468
26005,0.332,0.296
26007,0,0.557
26009,0.13,0.412
26011,0,0.581
26013,0.964,0.571
26015,0.0644,0.262
26017,0.359,0.951
26019,0.208,0.219
26021,0.179,0.674
26023,0.0137,0.448
26025,0.813,0.57
26027,0.245,0.265
26029,0,0.53
26031,0,0.269
26033,0.0152,0.582
26035,0,0.167
26037,0.132,0.191
26039,0,0.154
26041,0.0051,0.507
26043,0,0.737
26045,0.00739,0.495
26047,0.0323,0.551
26049,0.426,0.67
26051,0.635,0.186
26053,0.093,0.766
26055,0,0.437
26057,0.00229,0.523
26059,0.544,0.334
26061,0.0397,0.811
26063,0.0258,0.516
26065,0.0541,0.926
26067,0.0977,0.421
26069,0.00576,0.586
26071,0,0.972
26073,0.622,0.58
26075,0.374,0.572
26077,0.00241,0.957
26079,0,0.115
26081,0.0212,0.862
26083,0.242,0.404
26085,0,0.0974
26087,0.633,0.231
26089,0.0379,0.227
26091,0.098,0.527
26093,0.0662,0.364
26095,0,0.666
26097,0.841,0.339
26099,0.0443,0.935
26101,0,0.347
26103,0.514,0.703
26105,0,0.409
26107,0.924,0.292
26109,0.00355,0.432
26111,0.177,0.752
26113,0,0.101
26115,0,0.835
26117,0.00176,0.307
26119,0,0.128
26121,0.0356,0.644
26123,0.101,0.222
26125,0.101,0.819
26127,0,0.196
26129,0.0673,0.129
26131,0,0.648
26133,0.0165,0.222
26135,0,0.107
26137,0,0.175
26139,0.084,0.7
26141,0,0.385
26143,0.0689,0.0916
26145,0.0658,0.872
26147,0.0645,0.712
26149,0.00564,0.53
26151,0.0424,0.486
26153,0,0.44
26155,0.634,0.418
26157,0,0.291
26159,0.453,0.378
26161,0.0288,0.708
26163,0.146,0.992
26165,0.133,0.405
27001,0.075,0.222
27003,0.00934,0.805
27005,0.00443,0.386
27007,0.00405,0.375
27009,0,0.472
27011,0,0.69
27013,0.014,0.797
27015,0,0.797
27017,0,0.532
27019,0.00526,0.926
27021,0,0.15
27023,0,0.613
27025,0.00296,0.507
27027,0.0125,0.888
27029,0,0.238
27031,0,0.251
27033,0,1
27035,0.00592,0.453
27037,0.224,0.87
27039,0,0.666
27041,0.00191,0.496
27043,0.00795,0.705
27045,0,0.628
27047,0.107,0.746
27049,0.00685,0.675
27051,0.0145,0.566
27053,0,0.987
27055,0,0.595
27057,0.0073,0.257
27059,0,0.48
27061,0,0.477
27063,0.0185,0.608
27065,0,0.266
27067,0.00812,0.665
27069,0,1
27071,0,0.588
27073,0,0.519
27075,0,0.52
27077,0,0.267
27079,0.0292,0.785
27081,0,1
27083,0,0.825
27085,0.0177,0.741
27087,0,0.313
27089,0.00827,0.845
