fips,sfha_home_share,claims_per_1000_policies_year,mean_paid_usd,residential_structures,residential_structures_sfha,policies_in_force,sfha_policy_share,claims_per_year,sfha_share_basis
28097,0.02688,0,,4613,124,10,0.08065,0,structures
28099,0.01597,5.556,13760,12710,203,36,0.1281,0.2,structures
28101,0.02301,12.82,11060,9126,210,13,0.0381,0.1667,structures
28103,0.0262,33.33,16410,4236,111,10,0.08108,0.3333,structures
28105,0.05409,2.882,49040,15700,849,266,0.2379,0.7667,structures
28107,0.0394,10.32,16150,13020,513,84,0.1384,0.8667,structures
28109,0.07906,28.56,32210,24360,1926,642,0.1771,18.33,structures
28111,0.1163,58.33,29580,5582,649,36,0.04931,2.1,structures
28113,0.0205,21.79,18850,22430,460,78,0.1152,1.7,structures
28115,0.01006,8.333,16050,14020,141,12,0.04255,0.1,structures
28117,0.01444,7.407,23010,14620,211,9,0.01422,0.06667,structures
28119,0.4537,34.01,17320,3112,1412,98,0.05241,3.333,structures
28121,0.04487,12.95,36360,52110,2338,1202,0.3323,15.57,structures
28123,0.0222,9.524,35490,10670,237,49,0.1519,0.4667,structures
28125,0.4313,22.02,31560,1804,778,109,0.1067,2.4,structures
28127,0.05065,23.53,17990,12020,609,68,0.08867,1.6,structures
28129,0.01522,18.52,6870,7358,112,9,0.0625,0.1667,structures
28131,0.01149,32.05,23120,7222,83,26,0.1687,0.8333,structures
28133,0.06153,19.83,19230,8533,525,116,0.141,2.3,structures
28135,0.1853,19.3,18410,4959,919,57,0.04897,1.1,structures
28137,0.01453,17.54,54570,10670,155,38,0.1613,0.6667,structures
28139,0.00741,13.33,3389,9177,68,5,0.02941,0.06667,structures
28141,0.02145,27.08,17560,9371,201,16,0.04975,0.4333,structures
28143,0.1252,65.26,25710,2972,372,71,0.1667,4.633,structures
28145,0.01269,28.89,22470,11820,150,15,0.06667,0.4333,structures
28147,0.04143,50,23360,6734,279,42,0.1183,2.1,structures
28149,0.08938,70.2,28840,19260,1722,321,0.1731,22.53,structures
28151,0.2431,31.12,28800,19160,4658,1236,0.2102,38.47,structures
28153,0.0591,19.23,42300,7766,459,26,0.03704,0.5,structures
28155,0.005371,0,,4282,23,3,0.08696,0,structures
28157,0.07725,255.6,28770,5476,423,57,0.1111,14.57,structures
28159,0.01547,23.81,39460,7496,116,21,0.08621,0.5,structures
28161,0.01975,9.091,29140,6077,120,11,0.075,0.1,structures
28163,0.1373,29.4,36290,9415,1293,271,0.1802,7.967,structures
29001,0.0002878,73.33,49920,10420,0,5,,0.3667,policies_lower_bound
29003,0.03857,155.2,31910,9101,351,29,0.07692,4.5,structures
29005,0.001627,257.1,62110,3688,0,7,,1.8,policies_lower_bound
29007,0.01287,12.5,7523,12200,157,32,0.1911,0.4,structures
29009,0.04046,16.67,18090,19060,771,6,0.007782,0.1,structures
29011,0.02679,10,17260,5934,159,20,0.1006,0.2,structures
29013,0.01027,62.96,31140,9448,97,9,0.05155,0.5667,structures
29015,0.01443,11.11,3226,14000,202,15,0.0495,0.1667,structures
29017,0.00144,178.6,20400,6944,0,14,,2.5,policies_lower_bound
29019,0.01168,13.18,14180,62520,730,129,0.08904,1.7,structures
29021,0.004713,46.2,52340,32460,0,215,,9.933,policies_lower_bound
29023,0.1893,47.89,22030,19260,3645,261,0.06722,12.5,structures
29025,0.003748,33.33,271,5870,22,1,0.04545,0.03333,structures
29027,0.02637,41.67,6669,24420,644,28,0.03416,1.167,structures
29029,0.03367,9.97,28480,36950,1244,224,0.1359,2.233,structures
29031,0.0183,102.5,14080,29300,536,54,0.06903,5.533,structures
29033,0.0541,126.7,21580,5786,313,15,0.04473,1.9,structures
29035,0.008502,77.48,54400,3058,0,37,,2.867,policies_lower_bound
29037,0.005332,58.82,23530,39580,211,102,0.2844,6,structures
29039,0.005208,0,,8065,42,2,0.04762,0,structures
29041,0.05886,50,20330,6031,355,22,0.05352,1.1,structures
29043,0.007477,25.71,26800,32500,243,70,0.1934,1.8,structures
29045,0.03853,23.81,13440,4775,184,28,0.05435,0.6667,structures
29047,0.006758,36.05,14380,82860,560,258,0.2661,9.3,structures
29049,0.005268,13.33,11360,12910,68,15,0.1765,0.2,structures
29051,0.01439,56.22,18440,28700,413,83,0.1622,4.667,structures
29053,0.01597,13.33,40460,9015,144,5,0.03472,0.06667,structures
29055,0.02105,44.44,29830,12160,256,21,0.07031,0.9333,structures
29057,0.003328,,,6010,20,0,0,0,structures
29059,0.005619,16.67,13970,9077,51,6,0.03922,0.1,structures
29061,0.01236,,12920,6066,75,0,0,0.1333,structures
29063,0.0214,133.3,44400,4860,104,1,0.009615,0.1333,structures
29065,0.01154,7.407,,7539,87,9,0.06897,0.06667,structures
29067,0.0001363,0,,7335,0,1,,0,policies_lower_bound
29069,0.01739,5.487,15080,13000,0,243,,1.333,policies_lower_bound
29071,0.0177,118.8,32370,45430,804,156,0.1393,18.53,structures
