fips,karst_share,landslide_susceptible_share
18017,0.151,0.123
18019,0.4,0.508
18021,0.00108,0.308
18023,0,0.0463
18025,0.864,0.828
18027,0,0.255
18029,0.286,0.764
18031,0.68,0.256
18033,0,0.146
18035,0.272,0.0692
18037,0.0523,0.607
18039,0,0.107
18041,0.223,0.375
18043,0.32,0.674
18045,0,0.198
18047,0.482,0.622
18049,0,0.101
18051,0,0.237
18053,0.376,0.091
18055,0.254,0.51
18057,0.125,0.116
18059,0,0.0428
18061,0.952,0.665
18063,0,0.136
18065,0.00782,0.118
18067,0.123,0.0653
18069,0.17,0.137
18071,0.0367,0.365
18073,0.273,0.0643
18075,0.148,0.0439
18077,0.622,0.51
18079,0.537,0.428
18081,0,0.185
18083,0,0.212
18085,0,0.14
18087,0,0.0999
18089,0.0391,0.156
18091,0,0.144
18093,0.742,0.656
18095,0.303,0.0775
18097,0.00958,0.214
18099,0,0.0956
18101,0.303,0.78
18103,0.128,0.159
18105,0.564,0.741
18107,0.0344,0.123
18109,0.0367,0.488
18111,0.0143,0.0549
18113,0,0.226
18115,0.211,0.842
18117,0.931,0.663
18119,0.506,0.644
18121,0.0266,0.491
18123,0.502,0.832
18125,0,0.518
18127,0,0.179
18129,0,0.274
18131,0.0827,0.0673
18133,0.389,0.451
18135,0.0818,0.0443
18137,0.865,0.397
18139,0.223,0.0758
18141,0,0.133
18143,0.0622,0.412
18145,0.293,0.0821
18147,0,0.387
18149,0,0.0626
18151,0,0.3
18153,0,0.272
18155,0.2,0.825
18157,0,0.151
18159,0.0163,0.0128
18161,0.244,0.297
18163,0,0.352
18165,0,0.315
18167,0,0.284
18169,0.112,0.17
18171,0,0.171
18173,0,0.419
18175,0.641,0.536
18177,0.102,0.221
18179,0.496,0.0348
18181,0.118,0.0524
18183,0,0.204
19001,0.0189,0.469
19003,0.0505,0.447
19005,0.592,0.693
19007,0,0.537
19009,0,0.574
19011,0.177,0.12
19013,0.328,0.0588
19015,0.000672,0.16
19017,0.3,0.0554
19019,0.485,0.0453
19021,0,0.0618
19023,0.533,0.0501
19025,0,0.0452
19027,0,0.202
19029,0.00544,0.431
19031,0.196,0.25
19033,0.491,0.0764
19035,0,0.15
19037,0.139,0.0322
19039,0.0152,0.595
19041,0,0.0747
19043,0.918,0.68
19045,0.504,0.319
19047,0,0.619
19049,0.0189,0.227
19051,0.0183,0.51
19053,0.063,0.627
19055,0.667,0.224
19057,0.0359,0.359
19059,0,0.123
19061,0.942,0.607
19063,0,0.114
19065,0.691,0.257
19067,0.818,0.0565
19069,0.0969,0.0545
19071,0.00366,0.382
19073,0,0.0891
19075,0.0392,0.0176
19077,0.000649,0.522
19079,0.0134,0.0802
19081,0,0.0679
19083,0.0203,0.128
19085,0.024,0.583
19087,0.218,0.34
19089,0.308,0.0656
19091,0.114,0.0579
19093,0,0.326
19095,0.0079,0.465
19097,0.922,0.737
19099,0.00476,0.421
19101,0.0939,0.358
19103,0.041,0.379
19105,0.526,0.445
19107,0.223,0.373
19109,0,0.0523
19111,0.0695,0.421
19113,0.536,0.218
19115,0.00185,0.235
19117,0,0.609
19119,0,0.0842
19121,0.229,0.488
19123,0.213,0.324
19125,0.0783,0.522
19127,0.0528,0.235
19129,0.00527,0.483
19131,0.729,0.052
19133,0.0435,0.457
19135,0.0346,0.684
19137,0.00932,0.446
19139,0.0527,0.221
19141,0,0.0582
19143,0,0.0367
19145,0.0339,0.376
19147,0,0.0418
19149,0,0.255
19151,0.0107,0.0439
19153,0,0.262
19155,0.00651,0.542
19157,0,0.43
19159,0.00428,0.508
19161,0,0.0939
19163,0.0923,0.303
19165,0,0.596
19167,0,0.0698
