fips,population,building_value_usd,eal_valt,sovi_score,resl_score,crf_value,coastal,tsunami_zone
18131,12510,3616000000,5149000,39.47,74.11,1.041,false,false
18133,36700,8291000000,14340000,31.46,70.9,0.9833,false,false
18135,24500,6454000000,9167000,54.07,61.1,1.16,false,false
18137,28940,7461000000,14060000,45.71,56.62,1.097,false,false
18139,16750,4184000000,6649000,29.45,70.74,0.9669,false,false
18141,272700,58760000000,60200000,37.21,89.98,1.017,false,false
18143,24380,4504000000,8819000,23.35,39.54,0.9244,false,false
18145,45060,10980000000,16260000,19.72,78.47,0.8824,false,false
18147,19790,6332000000,12640000,34.99,67.56,1.011,false,false
18149,23360,4826000000,8322000,41.28,73.47,1.057,false,false
18151,34410,9974000000,10030000,25.6,69.47,0.9347,false,false
18153,20810,4491000000,7912000,30.34,63.9,0.9785,false,false
18155,9726,2098000000,5292000,33.75,8.142,1.024,false,false
18157,186000,39570000000,49490000,29.77,65.14,0.9713,false,false
18159,15350,4321000000,6922000,10.62,83.91,0.6706,false,false
18161,7087,1661000000,4261000,10.62,20.64,0.7728,false,false
18163,180100,43170000000,96390000,48.51,86.01,1.103,false,false
18165,15440,3581000000,7548000,49.68,74.2,1.119,false,false
18167,106100,24610000000,46220000,52.39,89.95,1.132,false,false
18169,30940,7957000000,12290000,47.39,93.67,1.088,false,false
18171,8438,2266000000,4085000,14.76,61.26,0.8334,false,false
18173,63880,14740000000,29220000,19.72,86.83,0.879,false,false
18175,28140,5622000000,12860000,37.47,36.86,1.04,false,false
18177,66530,15960000000,24640000,78.53,69.91,1.387,false,false
18179,28180,6838000000,9625000,17.78,85.75,0.8599,false,false
18181,24680,7925000000,12530000,34.45,84.13,1.001,false,false
18183,34140,8307000000,9628000,22.42,87.02,0.9051,false,false
19001,7418,3115000000,14190000,55.63,64.34,1.173,false,false
19003,3704,1686000000,8004000,28.09,58.33,0.9584,false,false
19005,14050,4809000000,10450000,55.85,40.84,1.191,false,false
19007,12310,3872000000,10260000,69.97,60.02,1.309,false,false
19009,5674,2240000000,11470000,48.19,90.81,1.098,false,false
19011,25560,7648000000,15730000,10.62,92.68,0.6264,false,false
19013,131000,28840000000,41770000,23.41,94.56,0.9107,false,false
19015,26720,7012000000,16510000,10.62,96.44,0.5901,false,false
19017,24970,6804000000,15350000,10.62,98.03,0.5673,false,false
19019,20560,5550000000,13130000,10.62,87.72,0.6521,false,false
19021,20820,6232000000,12010000,40.65,53.24,1.061,false,false
19023,14330,4474000000,14540000,10.62,89.41,0.6432,false,false
19025,9927,3426000000,13340000,48.51,87.63,1.102,false,false
19027,20760,8382000000,22650000,22.96,94.72,0.9066,false,false
19029,13120,4448000000,16580000,74.97,81.36,1.339,false,false
19031,18500,6124000000,12490000,10.62,91.06,0.6364,false,false
19033,43120,11230000000,27360000,46.34,92.27,1.082,false,false
19035,11650,4274000000,10730000,42.68,81.77,1.064,false,false
19037,12000,4306000000,10920000,31.74,84.32,0.9808,false,false
19039,9747,2615000000,9905000,10.62,60.34,0.7254,false,false
19041,16380,5231000000,17110000,10.62,71.98,0.7002,false,false
19043,17030,5576000000,14530000,27.64,63.71,0.9535,false,false
19045,46430,12660000000,25430000,34.64,87.47,1.001,false,false
19047,16520,6619000000,23550000,28.15,23.35,0.9715,false,false
19049,99670,23160000000,39720000,10.62,98.06,0.5655,false,false
19051,9094,3071000000,11250000,80.76,7.793,1.516,false,false
19053,7645,2136000000,7813000,43,41.06,1.082,false,false
19055,17490,6238000000,17050000,32.57,90.71,0.985,false,false
19057,38900,10900000000,19480000,34.45,89.25,0.9974,false,false
19059,17610,7466000000,14440000,14.95,86.93,0.8291,false,false
19061,99150,23180000000,41720000,10.62,96.95,0.586,false,false
19063,9388,2810000000,14070000,33.56,67.14,0.9998,false,false
19065,19510,6354000000,14880000,55.41,73.82,1.165,false,false
19067,15620,4139000000,14560000,46.02,83.14,1.087,false,false
19069,10020,3253000000,10850000,10.62,51.69,0.7442,false,false
19071,6605,2349000000,6675000,24.9,47.9,0.9352,false,false
19073,8769,2959000000,12190000,20.23,95.17,0.8796,false,false
19075,12330,3841000000,9521000,10.62,94.66,0.6081,false,false
19077,10620,4415000000,13910000,10.62,85.85,0.6598,false,false
19079,15040,6107000000,15510000,22.42,71.47,0.9095,false,false
19081,10800,4343000000,11170000,19.72,80.57,0.8808,false,false
19083,16880,6755000000,20410000,38.3,80.53,1.029,false,false
19085,14560,3835000000,9830000,44.21,69.34,1.079,false,false
19087,20460,5252000000,9658000,46.34,86.86,1.087,false,false
19089,9449,4994000000,9209000,10.62,75.06,0.6948,false,false
19091,9597,2471000000,9744000,19.34,73.98,0.8793,false,false
19093,7001,2641000000,7272000,32.98,93.99,0.9877,false,false
19095,16660,6995000000,11150000,19.4,94.08,0.8716,false,false
19097,19480,5096000000,14110000,15.94,75.48,0.844,false,false
19099,37810,9563000000,16060000,21.85,89.19,0.8989,false,false
19101,15640,4526000000,7524000,62.31,50.13,1.242,false,false
19103,152800,34130000000,96250000,11.39,96.69,0.7342,false,false
19105,20630,6909000000,16100000,10.62,78.94,0.6814,false,false
19107,10030,4221000000,8941000,21.56,81.33,0.8992,false,false
19109,14820,6478000000,15680000,10.62,75.64,0.6929,false,false
19111,33540,10970000000,22560000,43.29,84.73,1.066,false,false
19113,230300,54370000000,79110000,15.43,98.7,0.8269,false,false
19115,10840,3371000000,8447000,13.61,58.17,0.8188,false,false
19117,8623,2780000000,7863000,69.05,81.27,1.28,false,false
19119,11930,3966000000,10890000,10.62,79.36,0.6808,false,false
19121,16550,5356000000,10270000,54.68,88.68,1.148,false,false
19123,22170,6401000000,11060000,23,78.91,0.9124,false,false
19125,33400,9171000000,14250000,13.39,96.82,0.8074,false,false
19127,40090,12210000000,22660000,39.92,63.39,1.048,false,false
19129,14480,3878000000,10620000,10.62,80.82,0.6781,false,false
19131,10560,3203000000,14370000,17.46,85.94,0.8566,false,false
19133,8738,2821000000,8703000,36.77,82.03,1.017,false,false
19135,7577,1748000000,7002000,10.62,56.93,0.7327,false,false
19137,10330,3550000000,11200000,34.22,72.01,1.004,false,false
19139,43230,13160000000,20300000,36.77,86.04,1.015,false,false
19141,14180,5299000000,11140000,10.62,96.31,0.5914,false,false
19143,6192,2384000000,5473000,51.24,67.53,1.137,false,false
19145,15200,4418000000,12120000,45.2,81.58,1.08,false,false
19147,8984,2690000000,9688000,10.62,86.48,0.6575,false,false
19149,25690,8482000000,17570000,26.18,89.09,0.9338,false,false
19151,7078,3121000000,11330000,30.95,68.67,0.9803,false,false
19153,492300,105400000000,137600000,16.98,91.19,0.8498,false,false
19155,93650,18450000000,49620000,21.85,69.18,0.9054,false,false
19157,18660,5915000000,11820000,21.37,84.86,0.8956,false,false
19159,4653,1365000000,8124000,10.62,47.58,0.7481,false,false
19161,9814,4513000000,14740000,10.62,90.27,0.6399,false,false
19163,174600,43760000000,66460000,19.15,95.93,0.8674,false,false
19165,11740,3960000000,12650000,10.62,87.37,0.6537,false,false
19167,35870,15060000000,29750000,10.62,95.13,0.6001,false,false
19169,98530,22250000000,36100000,12.95,86.8,0.8054,false,false
19171,17080,5154000000,12600000,57.19,65.11,1.187,false,false
19173,5889,2203000000,9852000,64.98,40.9,1.273,false,false
