fips,event_type,rate_per_year,share_damaging,median_days,p90_days,events,share_injury,source,years
42039,high_wind,1.367,0.8537,0.125,0.4375,41,0,storm_events,1996-2025
42039,ice_storm,0.03333,0,0.375,0.375,1,0,storm_events,1996-2025
42039,severe_wind_65kt_day,0.2,0.1667,,,6,0,spc,1996-2025
42039,severe_wind_day,7.033,0.7536,,,211,0.009479,spc,1996-2025
42039,tornado,0.5667,0.9412,,,17,0.05882,spc,1996-2025
42039,tornado_ef2plus,0.06667,1,,,2,0.5,spc,1996-2025
42039,tropical_storm_passage,0.06579,,,,5,,hurdat2,1950-2025
42039,winter_storm,5.6,0.7619,1,1.958,168,0.0119,storm_events,1996-2025
42041,drought,0.1333,0,0,31,4,0,storm_events,1996-2025
42041,extreme_cold,0.1333,0,0.4167,1.417,4,0,storm_events,1996-2025
42041,flash_flood,1.167,0.1714,0.1076,0.375,35,0.05714,storm_events,1996-2025
42041,flood,1.367,0.04878,0.7229,1.854,41,0,storm_events,1996-2025
42041,hail_1in_day,0.5333,0,,,16,0,spc,1996-2025
42041,hail_2in_day,0.03333,0,,,1,0,spc,1996-2025
42041,heat,0.3667,0,0.3333,2.167,11,0,storm_events,1996-2025
42041,high_wind,0.6333,0.2632,0.3125,0.5833,19,0,storm_events,1996-2025
42041,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42041,ice_storm,0.1667,0,0.4583,1.583,5,0,storm_events,1996-2025
42041,severe_wind_65kt_day,0.2667,0.625,,,8,0,spc,1996-2025
42041,severe_wind_day,4.667,0.5714,,,140,0.02143,spc,1996-2025
42041,tornado,0.3333,0.6,,,10,0,spc,1996-2025
42041,tropical_cyclone_impact,0.03333,0,0.5833,0.5833,1,0,storm_events,1996-2025
42041,tropical_storm_passage,0.09211,,,,7,,hurdat2,1950-2025
42041,wildfire,0.06667,1,1.333,7.541,2,0,storm_events,1996-2025
42041,winter_storm,1.933,0.01724,0.6667,1.292,58,0.06897,storm_events,1996-2025
42043,drought,0.1333,0,0,31,4,0,storm_events,1996-2025
42043,extreme_cold,0.1333,0,0.4167,1.417,4,0,storm_events,1996-2025
42043,flash_flood,1.3,0.1538,0.125,0.375,39,0,storm_events,1996-2025
42043,flood,1.033,0.03226,0.8438,3.802,31,0.06452,storm_events,1996-2025
42043,hail_1in_day,0.8667,0,,,26,0,spc,1996-2025
42043,heat,0.4,0,0.25,2.167,12,0,storm_events,1996-2025
42043,high_wind,0.7,0.2857,0.25,0.5417,21,0,storm_events,1996-2025
42043,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42043,ice_storm,0.2,0,0.4583,1.583,6,0,storm_events,1996-2025
42043,severe_wind_65kt_day,0.3,0.8889,,,9,0,spc,1996-2025
42043,severe_wind_day,5.633,0.6568,,,169,0.005917,spc,1996-2025
42043,tornado,0.4,0.8333,,,12,0.08333,spc,1996-2025
42043,tropical_cyclone_impact,0.03333,0,0.5833,0.5833,1,0,storm_events,1996-2025
42043,tropical_storm_passage,0.09211,,,,7,,hurdat2,1950-2025
42043,winter_storm,2,0.03333,0.75,1.25,60,0.01667,storm_events,1996-2025
42045,coastal_flood,1.767,0.01887,0.1667,1.167,53,0,storm_events,1996-2025
42045,drought,1.467,0,28.62,31,44,0,storm_events,1996-2025
42045,extreme_cold,0.9333,0,0.4167,2.292,28,0.03571,storm_events,1996-2025
42045,flash_flood,2.467,0.09459,0.125,0.4896,74,0.02703,storm_events,1996-2025
42045,flood,2.3,0.1014,0.4583,0.9299,69,0,storm_events,1996-2025
42045,hail_1in_day,0.5,0,,,15,0,spc,1996-2025
42045,heat,3.367,0,2.25,5.292,101,0.06931,storm_events,1996-2025
42045,high_wind,1.233,0.2432,0.1667,0.625,37,0.1351,storm_events,1996-2025
42045,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42045,ice_storm,0.06667,0,0.2917,0.375,2,0,storm_events,1996-2025
42045,severe_wind_65kt_day,0.1667,0.4,,,5,0.2,spc,1996-2025
42045,severe_wind_day,4.533,0.1029,,,136,0.02941,spc,1996-2025
42045,tornado,0.06667,0.5,,,2,0.5,spc,1996-2025
42045,tornado_ef2plus,0.03333,0,,,1,1,spc,1996-2025
42045,tropical_cyclone_impact,0.1,0.3333,0.2708,0.875,3,0,storm_events,1996-2025
42045,tropical_storm_passage,0.1447,,,,11,,hurdat2,1950-2025
42045,wildfire,0.1,0.3333,0.2083,1.25,3,0,storm_events,1996-2025
