fips,events_per_customer_year,p_ge_1d,p_ge_3d,p_ge_7d,p_ge_14d,median_hours,p90_hours,years_covered,years_of_data,duration_basis,events_per_year,events,customers,customer_hours_per_customer_year,share_customer_hours_in_events,longest_event_hours
08111,2.266,0,0,0,0,1.5,7.25,2016-2024,4.583,county,6.764,31,549,6.37,0.9767,12
08113,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2019-2024,1.917,state,0,0,7283,0.00283,0,0
08115,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2020-2020,0.1667,state,0,0,1049,0.01859,0,0
08117,2.747,0.001855,0,0,0,1.75,6.5,2014-2025,10.42,county,35.23,367,16130,9.223,0.8791,49.75
08119,0.9597,0.01221,0,0,0,2,8.25,2015-2025,10.17,county,10.03,102,11040,4.154,0.8639,57.75
08121,0.0485,0,0,0,0,2,3.75,2017-2025,6,county,1.833,11,4309,0.2032,0.5238,7.75
08123,0.6934,0.0286,0,0,0,1.75,5.75,2014-2025,10.75,county,19.35,208,122300,3.757,0.6123,98.5
08125,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2022-2024,2.75,state,0,0,5292,0,0,0
09110,0.1153,0.2857,0.1145,0,0,7.25,75.75,2014-2025,5.443,county,3.291,38.57,800800,3.069,0.5541,148.8
09120,0.533,0.2529,0.1209,0,0,6.5,77,2014-2025,5.542,county,10.16,80,444900,5.517,0.7285,191.8
09130,0.5668,0.1956,0.04638,0,0,5.75,44.5,2014-2025,5.417,county,9.945,116.7,171200,9.221,0.8425,171.2
09140,0.1496,0.2369,0.1138,0,0,9,75.75,2014-2025,5.524,county,5.439,54.35,495500,3.876,0.4472,191.8
09150,1.365,0.175,0.03337,0,0,5.5,36,2014-2025,5.417,county,29.92,180.9,112800,13.63,0.8862,150
09160,0.6778,0.2045,0.1057,0,0,6,75.75,2014-2025,5.42,county,22.58,102.9,208600,7.679,0.7299,181.5
09170,0.1756,0.2298,0.1074,0,0,12.25,74.25,2014-2025,5.583,county,5.369,39,609700,3.522,0.6424,168
09180,0.4074,0.1881,0.02158,0,0,5.25,33,2014-2025,5.417,county,9.647,110.6,232200,5.627,0.7379,150
09190,0.1875,0.2605,0.1253,0,0,7.25,82.75,2014-2025,5.523,county,5,74.61,528600,5.99,0.49,191.8
10001,0.3126,0,0,0,0,1.25,3.5,2014-2025,11.17,county,10.03,112,98370,1.093,0.5128,31.25
10003,0.3075,0.06984,0,0,0,3,17.5,2014-2025,11.17,county,9.582,107,220400,3.748,0.5406,82.5
10005,0.2595,0.001844,0,0,0,1.5,5,2014-2025,11.17,county,9.582,107,219000,1.486,0.4085,33.5
11001,0.1287,0.01442,0,0,0,2.75,12,2014-2025,11.17,county,4.03,45,325100,2.182,0.3085,81
12001,0.2852,0.1576,0.03372,0,0,3.5,36.25,2014-2025,11.17,county,6.806,76,218500,4.734,0.7692,206.5
12003,1.318,0.06504,0.004341,0,0,2,15.25,2014-2025,11.17,county,15.94,178,15920,9.411,0.8723,208.2
12005,0.8355,0.1297,0.09388,0.06068,0,1.75,68.5,2014-2025,11.17,county,18.72,209,88690,21.61,0.9259,544.2
12007,1.05,0.04918,0.006911,0,0,1.75,11,2014-2025,11.17,county,14.24,159,17680,6.843,0.8334,211.2
12009,0.7762,0.1848,0.009853,0,0,4,38,2014-2025,11.17,county,2.06,23,338100,10.87,0.8578,203
12011,0.2447,0.1502,0.05666,0.002559,0,9.75,33.75,2014-2025,11.17,county,0.8955,10,1298000,5.325,0.7553,236.5
12013,2.56,0.03139,0.02368,0.001659,0,2,7.25,2014-2025,11.17,county,23.91,267,9002,15.03,0.9448,422.8
12015,0.9608,0.2371,0.04865,0.004413,0,7.75,65.5,2014-2025,11.17,county,8.239,92,129900,20.76,0.9061,252.8
12017,1.155,0.06616,0.02373,0,0,1.75,15.25,2014-2025,11.17,county,24.9,278,81280,10.6,0.8452,201.8
12019,1.592,0.02332,0.002805,0,0,1.5,10.25,2014-2025,11.17,county,24.99,279,81940,7.689,0.818,173.5
12021,0.6363,0.2421,0.06689,0.02854,0,13.75,59,2014-2025,11.17,county,4.746,53,288900,17.11,0.9255,338.2
12023,1.851,0.09559,0.01718,0,0,2,21.75,2014-2025,11.17,county,24.45,273,38560,17.39,0.8929,171.8
12027,1.479,0.1421,0.01276,0,0,1.5,50.75,2014-2025,11.17,county,12.81,143,21130,17.49,0.9179,265.8
