zip,place,zip_land_share
04649,2335975,0.056
04654,2341925,0.022
04658,2345565,0.077
04662,2351095,0.168
04679,2372830,0.1
04693,2386620,0.151
04730,2333945,0.021
04732,2301675,0.017
04734,2305350,0.068
04736,2310565,0.504
04739,2319385,0.021
04742,2325580,0.038
04743,2325720,0.032
04746,2328555,0.017
04750,2339265,0.034
04756,2342485,0.322
04757,2343220,0.014
04758,2343675,0.061
04763,2354350,0.096
04769,2360825,1
04785,2378535,0.034
04786,2380250,0.064
04841,2363590,1
04843,2309690,0.204
04861,2376330,0.193
04901,2380740,0.172
04901,2386480,0.076
04911,2301360,0.02
04915,2303950,0.466
04920,2304965,0.01
04927,2313435,0.202
04928,2314275,0.055
04930,2317495,0.078
04937,2324285,0.035
04938,2324740,0.032
04943,2331705,0.06
04947,2336990,0.029
04950,2342625,0.124
04953,2349100,0.119
04957,2349800,0.144
04958,2349975,0.038
04963,2354525,0.106
04967,2358970,0.195
04970,2361805,0.012
04974,2366600,0.152
04976,2368875,0.134
04988,2378220,0.037
04992,2324740,1
05001,5032205,0.027
05001,5083575,0.054
05001,5084025,0.05
05009,5083575,1
05030,5001750,0.82
05032,5005725,0.028
05033,5007225,0.026
05038,5013450,0.02
05045,5025600,0.014
05046,5030475,0.035
05048,5032350,0.037
05051,5048100,0.155
05052,5050500,0.375
05055,5052825,0.036
05059,5057775,0.329
05060,5058000,0.059
05068,5068050,0.019
05071,5069250,0.059
05081,5078025,0.097
05088,5084025,1
05089,5001750,0.023
05089,5085000,0.028
05091,5083125,0.013
05091,5085900,0.017
05101,5004225,0.049
05101,5052375,0.013
05142,5012175,0.031
05143,5013600,0.014
05148,5040150,0.013
05149,5041200,0.032
05150,5051925,0.421
05153,5057400,0.032
05154,5062950,0.143
05155,5067225,0.03
05155,5070825,0.044
05156,5069475,0.055
05158,5052375,0.011
05158,5081325,0.132
05201,5004750,0.049
05250,5001375,0.031
05251,5017650,0.05
05252,5001375,0.026
05253,5020350,0.168
05254,5042700,1
05255,5042700,0.027
05255,5042925,0.12
05257,5049075,0.107
05260,5051325,0.181
05261,5056950,0.018
05261,5057100,0.054
05262,5068200,0.03
05301,5007975,0.029
05301,5078850,0.011
05340,5070825,0.033
05342,5036025,0.065
05343,5036100,0.016
05346,5057625,0.02
05350,5058525,0.034
05352,5069700,0.136
05363,5013860,0.033
05363,5084625,0.017
05401,5010675,0.998
05403,5066175,1
05404,5085150,1
05405,5010675,1
05408,5010675,0.995
05440,5000850,0.022
05441,5002425,0.068
05443,5008950,0.02
05443,5040000,0.022
05443,5067150,0.022
05444,5011425,0.044
05445,5019975,0.01
05445,5079335,0.017
05450,5024025,0.025
05452,5024400,0.113
05454,5024850,0.039
05459,5033175,0.03
05461,5033400,0.03
05462,5034525,0.02
05464,5036475,0.014
05465,5036625,0.024
05468,5045175,0.05
05472,5048550,0.062
05476,5059050,0.016
05477,5006700,0.013
05477,5059200,0.034
05478,5061675,0.033
05482,5064225,0.293
05486,5066925,0.074
05488,5071650,0.011
05491,5074650,0.028
05494,5080275,0.04
05495,5062046,0.026
05602,5046000,0.114
05641,5003175,0.059
05641,5019075,0.033
05641,5066025,0.019
05641,5077800,0.018
05647,5011050,0.042
05649,5019075,0.087
05651,5021850,0.014
05654,5029425,0.352
05654,5066025,0.128
05655,5034975,0.03
05655,5050725,0.057
05656,5037000,0.025
05656,5050725,0.011
05661,5046825,0.03
05663,5050200,0.037
05670,5066025,1
05672,5070450,0.011
05673,5075250,0.012
05676,5076900,0.014
05677,5077050,0.028
05678,5077800,1
05679,5084100,0.088
05680,5085300,0.014
05701,5061225,0.111
05732,5012062,0.018
05733,5007675,0.026
05735,5011875,0.029
05735,5012062,0.042
05739,5016750,0.015
05743,5005125,0.039
05743,5025450,0.028
05744,5055525,0.019
05751,5037750,0.129
05753,5044275,0.169
05757,5044725,0.028
05759,5049450,0.037
05761,5054175,0.06
05763,5055525,0.04
05764,5022300,0.017
05764,5056800,0.014
05765,5057246,0.447
05767,5060025,0.011
05773,5075850,0.022
05774,5077875,0.029
05775,5082150,0.026
05777,5082375,0.083
05819,5062125,0.145
05820,5000400,0.115
05821,5002800,0.02
05822,5003475,0.027
05824,5015175,0.021
05825,5016075,0.268
05828,5017050,0.018
05829,5017425,0.056
05830,5017500,0.021
05832,5019600,0.021
05839,5028000,0.074
05841,5030100,0.107
05842,5030325,0.123
05843,5031750,0.031
05845,5035500,0.023
05846,5035725,0.041
05847,5040450,0.051
05850,5041800,0.174
05855,5048850,0.099
05859,5052075,0.03
05859,5073450,0.012
05860,5053575,0.012
05862,5054325,0.064
05866,5064000,0.019
05867,5071500,0.051
05868,5073450,0.045
05871,5079150,0.012
05902,5004150,0.97
05902,5011725,0.03
05903,5011725,0.025
05904,5027925,0.716
05906,5041350,0.052
06002,0906050,0.045
06010,0908420,0.996
06016,0908770,0.395
06018,0910870,0.132
06019,0912370,0.078
06019,0916120,0.139
06029,0918220,0.232
06031,0927390,0.041
06033,0931270,0.135
06035,0966455,0.207
06037,0940150,0.235
06039,0941830,0.144
06040,0944690,0.363
06042,0944690,0.293
06051,0950370,0.999
06052,0950370,0.994
06053,0950370,0.842
06057,0951420,0.082
06058,0953400,0.023
06060,0954660,0.716
06061,0951420,1
06063,0960540,0.015
06065,0964880,0.057
06066,0965230,0.103
06068,0941830,0.024
06069,0967890,0.057
06070,0969010,0.194
06070,0980770,0.05
06070,0983990,0.075
06071,0969150,0.085
06076,0918220,0.01
06076,0972300,0.074
06078,0974655,0.087
06081,0975100,1
06082,0937770,0.17
06082,0968450,0.113
06082,0971460,0.159
06082,0975940,0.061
06084,0918220,0.011
06089,0969010,0.05
06089,0980770,0.636
06092,0983990,0.395
06096,0987140,1
06098,0987350,0.159
06103,0937000,1
06105,0937000,0.916
06105,0982660,0.084
06106,0937000,1
06107,0982660,0.992
06108,0922700,1
06109,0984970,1
06110,0982660,0.998
06111,0952210,1
06112,0937000,1
06114,0937000,1
06117,0982660,1
06118,0922700,1
06119,0982660,1
06120,0937000,1
06226,0971250,0.303
06226,0985810,0.644
06234,0909120,0.038
06234,0921160,0.083
06234,0980630,0.019
06238,0917835,0.095
06238,0969990,0.086
06239,0918780,0.047
06239,0980630,0.027
06241,0918990,0.035
06250,0945120,0.15
06255,0946240,0.025
06255,0954730,0.098
06255,0963270,0.138
06256,0985810,0.106
06260,0962640,0.194
06262,0963270,1
06266,0971250,1
06268,0945120,0.024
06268,0973980,0.233
06269,0973980,1
06277,0946240,0.011
06281,0971530,0.09
06282,0941226,0.038
06320,0952280,0.996
06330,0902550,0.073
06335,0930190,0.088
06338,0945995,0.961
06339,0945995,0.025
06340,0916960,0.231
06340,0934180,0.137
06340,0934460,0.019
06340,0943790,0.068
06340,0953260,0.059
06340,0961730,0.06
06351,0939940,0.013
06353,0958520,0.664
06354,0949180,0.111
06355,0949810,0.216
06355,0953260,0.014
06355,0957180,0.302
06357,0953120,0.142
06360,0956200,1
06370,0958520,0.019
06374,0960090,0.067
06374,0980630,0.014
06378,0949810,0.028
06378,0973700,0.016
06379,0959140,0.279
06380,0956200,1
06382,0958520,0.206
06385,0980210,0.076
06387,0980630,1
06389,0956200,1
06390,3625923,1
06401,0901150,0.998
06405,0907345,0.086
06409,0926370,0.017
06410,0914200,0.124
06412,0914370,0.167
06413,0915420,0.148
06415,0915840,0.08
06417,0919200,0.281
06418,0919480,0.999
06422,0920740,0.349
06424,0922420,0.103
06424,0941410,0.14
06426,0926370,0.679
06437,0935020,0.046
06438,0938050,0.076
